show_id,type
80170870,Movie
80109128,Movie
80187188,Movie
80117811,Movie
81140307,Movie
80214621,Movie
80245709,Movie
81046846,Movie
81052279,Movie
81052277,Movie
80195653,Movie
80197427,Movie
80167491,Movie
80206907,Movie
80228146,Movie
80221637,Movie
80197301,Movie
80217436,Movie
80184547,Movie
80184135,Movie
80159566,Movie
80178280,Movie
80151370,Movie
80201570,Movie
80225034,Movie
80201497,Movie
80198745,Movie
80124726,Movie
80190130,Movie
80226357,Movie
80133550,Movie
80188883,Movie
80175332,Movie
80214583,Movie
80213299,Movie
80109295,Movie
80100937,Movie
80223050,Movie
80198735,Movie
80134969,Movie
81031652,Movie
80217121,Movie
81063743,Movie
80177414,Movie
80226233,Movie
80214581,Movie
80223731,Movie
80211728,Movie
80209153,Movie
80989337,Movie
81043345,Movie
80208091,Movie
81067757,Movie
81067758,Movie
81043346,Movie
81050194,Movie
81071972,Movie
80081987,Movie
80134968,Movie
80994282,Movie
80220013,Movie
80205451,Movie
80195654,Movie
80170992,Movie
80172958,Movie
80174959,Movie
80178974,Movie
81172740,Movie
81172756,Movie
81068687,Movie
81172758,Movie
81172868,Movie
80185876,Movie
80187435,Movie
80988989,Movie
81213876,Movie
81221913,Movie
81213882,Movie
81217438,Movie
80210716,Movie
80168234,Movie
80184972,Movie
80218432,Movie
80194671,Movie
80097519,Movie
80141781,Movie
80182473,Movie
80214478,Movie
80182034,Movie
81000505,Movie
81037697,Movie
80171023,Movie
80168161,Movie
80119234,Movie
81172830,Movie
80223098,Movie
80232740,Movie
80206847,Movie
80164930,Movie
80205978,Movie
80189806,Movie
80206057,Movie
80218939,Movie
80175314,Movie
80145625,Movie
81213153,Movie
81213148,Movie
81213149,Movie
81036745,Movie
80177441,Movie
80210182,Movie
80218784,Movie
80218783,Movie
80223049,Movie
80217545,Movie
80216662,Movie
81172757,Movie
80158871,Movie
80191835,Movie
80194612,Movie
81035888,Movie
81009829,Movie
80182479,Movie
81217741,Movie
80191294,Movie
80208793,Movie
81217742,Movie
80187471,Movie
80158854,Movie
80203781,Movie
80191930,Movie
80173001,Movie
80171247,Movie
80176212,Movie
80128691,Movie
80203996,Movie
80203998,Movie
80203997,Movie
81035835,Movie
80208295,Movie
80124724,Movie
80168079,Movie
80155475,Movie
80994162,Movie
80173176,Movie
80193491,Movie
80184834,Movie
80177776,Movie
81016192,Movie
81016194,Movie
80164392,Movie
80122759,Movie
80224150,Movie
80128689,Movie
80185322,Movie
81016193,Movie
81016196,Movie
80201175,Movie
80199962,Movie
80146805,Movie
80087352,Movie
80173606,Movie
80190984,Movie
80199381,Movie
80185166,Movie
80039439,Movie
80188580,Movie
80142058,Movie
80160346,Movie
80998560,Movie
80232892,Movie
80998562,Movie
80998563,Movie
80998564,Movie
80993656,Movie
80998568,Movie
80998565,Movie
80998566,Movie
80998567,Movie
81014824,Movie
81002213,Movie
80195886,Movie
80179433,Movie
80169549,Movie
80208951,Movie
80134527,Movie
80222823,Movie
80226962,Movie
80185032,Movie
80194610,Movie
80161109,Movie
81092327,Movie
80175333,Movie
80198419,Movie
80164904,Movie
80128715,Movie
80164212,Movie
80162993,Movie
80164088,Movie
80182411,Movie
80133552,Movie
81014345,Movie
80238655,Movie
80118916,Movie
80146759,Movie
80187301,Movie
80215782,Movie
80172000,Movie
80164465,Movie
80117484,Movie
80189853,Movie
80160081,Movie
80126569,Movie
80172002,Movie
80133153,Movie
80142474,Movie
80103336,Movie
80209751,Movie
80202808,Movie
80226076,Movie
80190215,Movie
80245519,Movie
80245518,Movie
80100054,Movie
80182596,Movie
80152447,Movie
81016045,Movie
80147760,Movie
81160036,Movie
81012295,Movie
80173625,Movie
80166318,Movie
80108976,Movie
80162144,Movie
80106966,Movie
80099204,Movie
80150502,Movie
80203776,Movie
80143797,Movie
80161931,Movie
80149143,Movie
80058248,Movie
80092885,Movie
80108371,Movie
80227777,Movie
80142637,Movie
80192015,Movie
80088910,Movie
81165770,Movie
80162197,Movie
80160358,Movie
80141891,Movie
80183897,Movie
80177834,Movie
80121855,Movie
80190990,Movie
80103426,Movie
81016321,Movie
80115464,Movie
80041653,Movie
81016318,Movie
81004460,Movie
80141858,Movie
80145699,Movie
80207446,Movie
80092857,Movie
80094648,Movie
80066073,Movie
80123740,Movie
80123741,Movie
80123742,Movie
80095197,Movie
80173479,Movie
80131240,Movie
80091310,Movie
80117443,Movie
80144152,Movie
81172895,Movie
80992769,Movie
80201824,Movie
80203789,Movie
80142617,Movie
80201823,Movie
80115858,Movie
80203790,Movie
80201822,Movie
80123743,Movie
80097472,Movie
80148070,Movie
80155812,Movie
80075476,Movie
80103282,Movie
80127559,Movie
80147323,Movie
80137461,Movie
81024712,Movie
80152182,Movie
81024704,Movie
81024711,Movie
81025908,Movie
80141767,Movie
81024705,Movie
80112370,Movie
80095193,Movie
80118280,Movie
80135360,Movie
80150246,Movie
80095089,Movie
80116741,Movie
80162195,Movie
80106036,Movie
80112371,Movie
80208413,Movie
